E1,E2 (A),E2 (B),E2 (C),E2 (D),E3,E4,E5 (A),E5 (B),E6 (A),E6 (B),E7,E8,E9,E10,E11
0,100,48.27586207,0,0,0,78.94736842,100,0,100,100,100,71.42857143,100,50,100
0,100,0,53.84615385,54.80769231,0,100,60,0,100,75,83.33333333,0,50,100,100
34.31372549,100,0,0,64.63414634,74.32432432,69.73684211,47.82608696,0,100,100,100,60,100,100,100
0,100,0,0,56.25,62.02531646,100,100,0,100,100,100,0,100,100,100
0,100,0,0,0,32.18390805,100,100,0,100,83.33333333,100,0,100,100,100
16.47058824,100,0,0,61.33333333,75,100,0,0,100,100,100,60,100,100,100
0,100,0,0,0,0,55.05617978,100,60,100,50,0,60,100,100,100
0,100,0,97.43589744,0,0,100,0,20.56074766,100,79.7752809,0,0,100,100,100
0,100,0,46.49122807,50,0,100,37.5,3.883495146,100,100,0,87.5,100,100,100
0,100,0,0,0,16.66666667,100,20.73170732,87.5,100,100,80,87.5,66.66666667,100,100
45.45454545,100,26.13636364,0,0,74.35897436,100,100,75,100,100,100,60,100,100,100
0,100,0,33,60,21.50537634,60,100,30.6122449,100,60,100,66.66666667,100,100,100
0,100,0,0,52.04081633,0,100,100,0,100,100,100,60,100,100,100
0,100,73.4939759,0,0,61.81818182,100,100,26.43678161,100,100,100,0,100,100,100
0,100,0,0,76,0,100,100,15.17857143,100,100,100,66.66666667,100,100,100
0,100,5,0,43.63636364,0,66.66666667,100,0,100,100,0,0,95.45454545,100,100
98.58156028,100,0,13.88888889,0,0,100,100,60,100,100,100,66.66666667,75,100,100
0,100,79.16666667,0,60,4.424778761,100,100,85.71428571,100,50,0,85.71428571,100,100,100
0,100,0,0,47.72727273,0,26.04166667,100,0,100,25,0,100,100,100,100
0,100,0,0,0,0,49.13793103,50,25,100,100,87.5,0,100,100,100
0,100,0,55.26315789,0,0,100,100,0,100,100,0,66.66666667,100,100,100
34.56790123,100,0,0,0,0,100,66.66666667,0,100,69.09090909,100,75,0,100,100
95,100,34.73684211,0,96,0,36.98630137,100,0,100,73.4939759,85.71428571,0,83.33333333,100,100
0,100,0,42.30769231,0,7.142857143,47.82608696,100,9.708737864,100,46.23655914,0,87.5,100,100,100
84,100,0,87.27272727,73.52941176,90.47619048,100,50,0,100,100,100,87.5,83.33333333,100,100
0,100,0,62.5,0,17.33333333,46.80851064,100,49.46236559,100,50.60240964,0,71.42857143,100,100,100
0,100,62.96296296,0,85.71428571,64.9122807,100,66.66666667,0,100,100,100,60,100,100,100
49.13793103,100,55.29411765,0,0,0,69.51219512,50.89285714,2.884615385,100,32.87671233,100,0,87.5,100,100
0,100,0,50,51.80722892,0,100,0,91.66666667,100,0,0,66.66666667,0,100,100
0,100,0,78.72340426,0,0,50,100,83.11688312,100,100,100,75,0,100,100
0,100,0,0,0,71.42857143,100,100,0,100,100,100,60,83.33333333,100,100
0,100,0,0,25,0,100,100,58.24175824,100,71.55172414,100,0,0,100,100
0,100,0,0,26.92307692,50,100,100,0,100,100,100,71.42857143,0,100,100
0,100,0,95.45454545,78.26086957,0,100,0,0,100,100,100,0,0,100,100
36.08247423,100,0,0,19.31818182,0,100,100,36.66666667,100,100,100,100,100,100,100
0,100,73.73737374,75,87.5,94.11764706,100,100,34.72222222,100,100,100,0,100,100,100
0,100,62.5,0,0,24.13793103,100,100,0,100,100,100,100,100,100,100
0,100,0,0,41.96428571,87.5,100,0,26.60550459,100,100,100,60,83.33333333,100,100
60,100,34.65346535,0,14.28571429,0,100,0,0,100,100,100,87.5,100,100,100
70.51282051,100,87.5,36.36363636,0,0,100,100,0,100,100,80,85.71428571,0,100,100
50,100,21.05263158,0,0,40,100,78.125,22.60869565,100,100,100,85.71428571,100,0,100
0,100,0,0,62.5,0,66.66666667,33.76623377,40,100,66.66666667,85.71428571,83.33333333,0,50,100
0,100,83.33333333,0,0,0,100,100,44.44444444,100,100,0,60,75,100,100
0,100,0,20,0,0,61.8556701,57.40740741,0,100,100,100,71.42857143,87.5,0,100
0,100,0,100,0,0,100,0,77.5862069,100,100,100,100,100,100,100
0,100,73.03370787,0,0,0,0,100,65,100,100,0,0,100,100,100
0,100,0,76.34408602,0,0,62.76595745,100,0,100,36.36363636,100,0,87.5,100,100
0,100,0,0,0,0,100,100,0,100,100,100,66.66666667,0,100,100
69.76744186,100,0,97.43589744,37.34939759,73.58490566,100,100,0,100,100,100,50,0,100,100
0,100,0,0,75,28.125,100,0,0,100,50,100,71.42857143,80,100,100
0,100,0,0,0,87.5,100,100,0,100,100,0,71.42857143,0,100,100
67.30769231,100,0,61.40350877,87.5,0,100,100,52.27272727,100,100,100,75,100,100,100
0,100,0,0,0,0,100,0,62.96296296,100,100,0,66.66666667,100,100,100
69.82758621,100,0,75.53191489,0,31.42857143,46.78899083,100,97.05882353,100,100,80,71.42857143,83.33333333,0,100
59.82142857,100,0,0,82.9787234,66.07142857,82.22222222,100,71.42857143,100,100,0,100,0,100,100
3.409090909,100,0,0,0,0,63.63636364,7.894736842,55.55555556,100,100,85.71428571,100,100,100,100
46.60194175,100,0,0,0,71.875,54.54545455,25.64102564,0,100,25.71428571,100,60,87.5,0,100
31.3253012,100,20,0,75,0,50,28.31858407,0,100,77.47747748,97.05882353,0,85.71428571,100,100
0,100,37.5,94.17475728,63.15789474,0,0,86.31578947,32.75862069,100,57.33333333,100,60,80,50,100
0,100,97.14285714,64.86486486,0,0,100,100,57.77777778,100,31.68316832,80,60,66.66666667,100,100
0,100,0,0,0,0,65,100,0,100,100,85.71428571,0,100,50,100
62.10526316,100,0,86.36363636,0,0,66.66666667,28.57142857,0,100,100,100,75,100,50,100
87.5,100,87.5,84.21052632,0,38.04347826,53.33333333,100,12.5,100,0,80,71.42857143,85.71428571,100,100
24.13793103,100,65.74074074,0,0,0,100,100,38.7755102,100,100,100,85.71428571,0,100,100
0,100,0,0,0,15.65217391,74.31192661,0,0,100,14.44444444,80,60,85.71428571,100,100
0,100,0,0,0,85.71428571,100,100,59.09090909,100,100,100,0,75,100,100
77.5,100,0,0,0,0,100,0,0,100,100,100,85.71428571,80,100,100
0,100,0,0,14.86486486,0,100,100,71.42857143,100,100,75,60,0,100,100
0,100,50,0,0,0,100,100,0,100,100,85.71428571,0,0,50,100
76.08695652,100,0,0,45.54455446,4.081632653,43.95604396,100,77.41935484,100,47.77777778,83.33333333,100,100,100,100
0,100,0,0,61.03896104,33.33333333,100,100,25,100,100,100,50,100,100,100
51.31578947,100,0,0,42.57425743,0,100,100,71.15384615,100,22.12389381,100,0,100,50,100
0,100,83.33333333,0,0,38.1443299,100,100,65.71428571,100,100,100,100,100,100,100
0,100,0,0,0,0,100,100,9.708737864,100,100,100,0,100,100,100
72.72727273,100,0,0,0,57.40740741,100,66.66666667,67.64705882,100,0,100,60,100,100,100
11.11111111,100,0,0,0,0,25,100,0,100,47.61904762,100,66.66666667,75,100,100
66.66666667,100,0,0,0,0,66.66666667,32.65306122,50.43478261,100,100,85.71428571,0,85.71428571,100,100
50,100,0,7.5,66.66666667,0,61.81818182,41.96428571,0,100,79.61165049,60,0,83.33333333,100,100
33.33333333,100,0,0,20.2247191,0,100,100,0,100,66.66666667,0,0,100,100,100
0,100,0,87.5,46.15384615,30.43478261,40,100,0,100,56.84210526,0,0,100,100,100
0,100,55.10204082,0,0,0,66.66666667,82.22222222,60,100,50,100,0,100,100,100
0,100,0,0,0,39.28571429,100,100,0,100,100,87.5,66.66666667,66.66666667,100,100
0,100,0,60,0,0,100,50.63291139,87.35632184,100,100,83.33333333,60,100,100,100
0,100,0,0,19.19191919,85.71428571,25.22522523,45.71428571,0,100,50,100,66.66666667,100,100,100
5.172413793,100,53.44827586,6.086956522,0,0,66.66666667,100,0,100,100,80,87.5,100,100,100
85.71428571,100,36.20689655,36.7816092,0,62.39316239,68.68686869,60,71.62162162,100,50,100,50,0,100,100
0,100,71.02803738,0,0,67.08860759,100,0,66.66666667,100,59.13043478,100,0,100,100,100
0,100,64,71.42857143,75.30864198,66.01941748,100,0,0,100,100,100,83.33333333,100,100,100
0,100,0,0,60.86956522,0,100,100,24.13793103,100,100,100,0,100,100,100
0,100,42.85714286,51.51515152,0,65.13761468,50,48,92.85714286,100,70,100,0,0,100,100
91.66666667,100,0,87.5,80.6122449,0,57.30337079,52.94117647,57.14285714,100,32.67326733,83.33333333,60,66.66666667,100,100
0,100,84.3373494,0,0,77.17391304,100,0,24.77876106,100,41.59292035,100,0,100,100,100
0,100,0,0,0,0,100,100,11.11111111,100,100,75,60,0,100,100
0,100,97.36842105,0,0,0,100,100,0,100,0,100,0,0,100,100
0,100,53.84615385,12.5,0,0,100,100,0,100,100,0,0,100,100,100
0,100,0,0,0,0,100,40.77669903,0,100,60,0,0,100,100,100
