E1,E2 (A),E2 (B),E2 (C) ,E2 (D),E3,E4,E5 (A),E5 (B),E6 (A),E6 (B),E7,E8,E9,E10,E11
14.70588235,100,0,0,0,0,21.73913043,72,0,100,43.41085271,0,0,0,100,100
39.28571429,100,0,46.62576687,97.5,16.08391608,13.01369863,66.45962733,0,100,57.57575758,83.33333333,0,0,100,100
84.27672956,100,0,31.49606299,0,0,64.77987421,0,0,100,71.42857143,80,0,0,100,100
62.5,85.71428571,96.15384615,0,28.09917355,0,0,0,59.86394558,30.32786885,72.88135593,75,0,0,100,66.66666667
0,18.24817518,0,15.47619048,0,63.86554622,0,0,0,0,0,60,0,0,60,60
0,0,0,81.81818182,29.92125984,7.317073171,0,0,0,37.03703704,9.554140127,0,100,0,60,85.71428571
0,100,20,36.12903226,0,0,100,59.49367089,57.66423358,100,100,85.71428571,71.42857143,100,100,100
0,100,0,33.33333333,0,45.96273292,49.71428571,56.02836879,19.63190184,100,66.66666667,80,0,87.5,100,100
43.18181818,100,10.37037037,0,0,24.28571429,37.22222222,100,0,100,41.95402299,80,71.42857143,80,100,100
0,0,46.70658683,22.58064516,70.96774194,0,0,35.66878981,8.823529412,0,29.71014493,75,75,0,100,80
0,0,20,9.85915493,0,11.62790698,24.8,0,0,75,0,66.66666667,100,71.42857143,0,81.81818182
54.34782609,1.666666667,0,14.19753086,0,0,15.38461538,0,93.75,28.2208589,0,71.42857143,0,0,60,0
14.78873239,100,87.5,85.44303797,0,38.51851852,50,56.42857143,0,100,77.20588235,0,66.66666667,0,100,100
30.85714286,100,0,0,0,0,64.70588235,39.0070922,0,100,81.41025641,75,75,80,100,100
0,100,12.87878788,7.80141844,0,13.90728477,19.20903955,76.42857143,35.11450382,100,64.28571429,83.33333333,0,0,100,100
0,28.57142857,0,0,0,0,2.739726027,93.63057325,0,0,0,87.5,100,0,75,75
0,0,0,59.55882353,0,0,0,32.16374269,34.48275862,7.547169811,75.83892617,100,0,0,60,50
0,0,85.81560284,33.07086614,0,0,0,0,0,0,0,71.42857143,0,60,0,100
77.57575758,100,0,0,0,0,66.66666667,66.15384615,0,100,100,75,0,87.5,100,100
