E1,E2 (A),E2 (B),E2 (C),E2 (D),E3,E4,E5 (A),E5 (B),E6 (A),E6 (B),E7,E8,E9,E10,E11
0,0,31.81818182,0,8.510638298,0,10.83333333,0,0,0,48.8372093,75,0,60,0,75
0,100,0,73.15436242,0,59.50920245,32.27848101,100,0,100,28,100,0,85.71428571,0,100
0,0,41.32231405,8.943089431,0,18.75,0,0,67.37588652,25.58139535,0,71.42857143,60,100,60,0
0,5.555555556,0,3.488372093,42.42424242,26.40449438,36.8852459,0,57.31707317,11.25,0,0,71.42857143,66.66666667,83.33333333,0
0,100,0,4.678362573,0,0,57.03703704,64.90066225,70.58823529,100,81.20805369,80,60,80,100,100
0,56.81818182,97.27891156,0,8.219178082,94.44444444,0,0,0,66.66666667,20.58823529,66.66666667,0,0,60,100
0,100,86.42857143,0,51.85185185,19.23076923,77.84431138,73.86363636,0,100,100,83.33333333,0,100,100,100
0,100,70.71428571,66.66666667,56.08108108,0,84.02777778,53.67647059,0,100,60,100,60,0,100,100
38.65546218,100,0,0,7.194244604,0,10.42944785,50,0,100,75,0,75,100,100,100
0,0,74.52229299,57.14285714,0,0,0,73.15436242,0,43.88888889,0,0,66.66666667,0,50,66.66666667
0,100,32.69230769,96.2962963,0,0,100,75,0,100,65.10067114,87.5,0,75,100,100
0,100,0,0,0,2.409638554,75,17.91907514,1.744186047,100,100,80,66.66666667,100,100,100
0,26.96629213,0,0,0,0,10.56910569,21.73913043,0,10.46511628,0,0,0,0,80,0
0,100,59.21787709,40,23.95209581,40,63.63636364,0,0,100,46.62162162,83.33333333,0,87.5,100,100
0,0,0,0,0,46.96969697,37.70491803,0,52,0,32.62411348,0,0,71.42857143,66.66666667,0
0,100,0,0,7.042253521,28.57142857,52.83018868,43.50282486,20.8,100,83.21167883,100,60,0,100,100
0,100,0,0,33.95061728,0,22.95081967,60,0,100,100,80,66.66666667,87.5,100,100
34.24657534,100,18.97810219,0,0,9.79020979,81.95488722,53.33333333,75,100,47.10743802,100,60,80,100,100
26.11940299,100,0,0,94.11764706,94.11764706,48.38709677,46.02272727,0,100,53.14685315,100,60,100,100,100
59.375,100,18.18181818,0,0,45.625,100,60,18.84057971,100,90.74074074,66.66666667,71.42857143,100,100,100
67.77777778,100,43.16546763,0,0,1.796407186,13.63636364,100,0,100,22.85714286,75,60,100,49.0797546,100
0,0,22.72727273,0,0,0,0,28.57142857,78.33333333,0,11.04651163,71.42857143,66.66666667,87.5,100,0
0,100,0,0,0,0,80,48.60335196,0,100,100,75,0,83.33333333,100,100
0,63.93442623,0,0,0,3.614457831,0,0,96.2962963,92.85714286,82.51748252,0,60,0,66.66666667,71.42857143
6.289308176,100,0,0,0,94.73684211,100,100,36.84210526,100,66.66666667,80,71.42857143,75,100,100
46.05263158,100,0,2.985074627,0,0,35.50295858,100,28.57142857,100,66.94915254,0,60,0,100,100
0,100,0,26.4,62.14285714,68.45637584,50,66.66666667,94.73684211,100,100,87.5,0,80,100,100
0,28.28947368,0,0,0,13.14285714,24.20382166,0,0,0,30,60,60,71.42857143,50,100
0,100,0,0,0,15.24390244,100,70.83333333,0,100,50,75,71.42857143,0,100,100
0,0,0,0,0,14.0625,38.28571429,0,94.11764706,65.49295775,97.14285714,60,71.42857143,71.42857143,0,100
18.125,100,0,0,0,42.85714286,48.42767296,10.84337349,58.91472868,100,54.48275862,85.71428571,85.71428571,100,100,100
0,100,0,0,10.52631579,0,75.625,58.57142857,25,100,100,75,0,100,100,100
0,0,0,2.666666667,0,0,0,52.34375,0,0,47.64705882,75,75,96.55172414,83.33333333,0
0,100,0,0,0,0,60,49.35064935,0,100,38.37209302,0,0,95,100,100
36.55172414,100,79.57746479,0,88.11188811,4.761904762,81.92090395,71.76470588,96.66666667,100,67.23163842,75,100,100,50,100
0,100,0,0,0,0,54.48717949,30.59701493,32.20338983,100,75.5952381,85.71428571,0,85.71428571,100,100
51.25,42.51968504,21.89781022,0,0,56.70731707,0,27.46478873,54.48275862,2.797202797,0,60,60,0,0,0
92.30769231,0,0,0,0,0,95.65217391,75.2,22.58064516,0,50,0,100,75,85.71428571,60
0,100,0,85.13513514,9.150326797,0,85.38011696,60,0,100,39.20454545,100,0,75,100,100
0,0,0,0,52.38095238,0,31.28834356,0,0,0,0,0,0,60,0,50
22.03389831,0,0,79.10447761,69.32515337,0,0,0,2,0,0,71.42857143,75,71.42857143,0,100
0,0,7.471264368,27.21893491,0,50,0,0,0,0,79.88505747,0,60,60,0,0
24.375,100,31.64556962,0,0,0,100,60,0,100,42.44604317,83.33333333,0,75,100,100
0,100,0,0,0,3.614457831,66.66666667,26.49006623,46.95121951,100,100,75,0,100,100,100
0,100,98.2300885,0,6.25,0,65.06849315,60,0,100,46.42857143,83.33333333,60,100,100,100
0,100,0,0,0,0,15.6424581,60,0,100,49.61832061,75,60,83.33333333,100,100
0,100,38.98305085,0,0,44.36090226,39.13043478,47.2392638,0,100,34.81012658,100,60,80,100,100
0,100,0,31.2849162,0,0,76.27118644,55.63380282,0,100,50,57.64705882,75,100,100,100
0,100,7.8125,18.42105263,19.10828025,0,23.75690608,81.11111111,22.05882353,100,80.48780488,83.33333333,60,80,100,100
0,100,0,0,0,4.918032787,66.66666667,50,50,100,25.45454545,87.5,71.42857143,85.71428571,100,100
0,100,0,0,31.51515152,29.94350282,50,50,0,100,68.15642458,85.71428571,100,100,100,100
0,100,0,0,3.125,0,100,100,23.07692308,100,100,0,0,0,100,100
0,100,50,0,0,0,100,66.66666667,3.246753247,100,100,100,0,80,100,100
0,100,70.86614173,20,0,68.34532374,39.62264151,100,70.11494253,100,60,100,0,100,100,100
0,100,0,13.51351351,0,68.38709677,68.34532374,100,0,100,34.39490446,100,0,75,100,100
0,100,41.55844156,0,0,0,69.93865031,69.82248521,3.370786517,100,71.52317881,83.33333333,75,100,100,100
0,100,0,47.59036145,34.43708609,49.35897436,60,60,0,100,18.60465116,100,60,0,100,100
0,100,92.85714286,0,0,0,100,100,0,100,100,100,0,0,100,100
0,0,0,0,0,77.51937984,0,0,0,0,0,66.66666667,0,0,87.5,75
0,100,0,0,9.090909091,38.0952381,66.89189189,100,0,100,100,87.5,0,100,100,100
0,42.85714286,0,0,0,0,30.46875,33.81294964,60,17.77777778,88.88888889,0,0,0,0,0
