,, E1 , E2 ,,,, E3 , E4 , E5 ,, E6 ,, E7 , E8 , E9 , E10 , E11 
,,, A , B , C , D ,,, A , B , A , B ,,,,,
 Pre-flood (t1 to t2) ,,,,,,,,,,,,,,,,,
 Start , day , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 2.0 , 4.0 , 2.0 , 2.0 , 2.0 
, time , 5.0 , 5.0 , 5.0 , 5.0 , 5.0 , 5.0 , 5.0 , 5.0 , 5.0 , 5.0 , 5.0 , 8.3 , 5.0 , 8.3 , 8.3 , 8.3 
, tick , 138.0 , 138.0 , 138.0 , 138.0 , 138.0 , 138.0 , 138.0 , 138.0 , 138.0 , 138.0 , 138.0 , 49.0 , 138.0 , 49.0 , 49.0 , 49.0 
 End , day , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 
, time , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 
, tick , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 
 Durations ,, 7.0 , 7.0 , 7.0 , 7.0 , 7.0 , 7.0 , 7.0 , 7.0 , 7.0 , 7.0 , 7.0 , 96.0 , 7.0 , 96.0 , 96.0 , 96.0 
 Operational Disruption (unit) ,, 325.0 , 325.0 , 325.0 , 325.0 , 325.0 , 325.0 , 325.0 , 325.0 , 325.0 , 325.0 , 325.0 , 805.0 , 325.0 , 925.0 , 790.0 , 715.0 
 Operational Disruption (ABS) ,, 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.4 , 0.2 , 0.4 , 0.4 , 0.3 
 no operation (t2 to t3) ,,,,,,,,,,,,,,,,,
 Start , day , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 , 4.0 
, time , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 
, tick , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 , 144.0 
 End , day , 10.0 , 9.0 , 10.0 , 9.0 , 10.0 , 9.0 , 9.0 , 9.0 , 9.0 , 9.0 , 9.0 , 11.0 , 9.0 , 11.0 , 11.0 , 11.0 
, time , 8.3 , 12.3 , 8.0 , 16.3 , 9.0 , 11.3 , 13.0 , 13.0 , 13.3 , 14.3 , 14.0 , 16.0 , 15.3 , 14.3 , 7.0 , 7.0 
, tick , 433.0 , 393.0 , 432.0 , 401.0 , 434.0 , 391.0 , 394.0 , 394.0 , 395.0 , 397.0 , 396.0 , 496.0 , 399.0 , 493.0 , 478.0 , 478.0 
 Durations ,, 289.0 , 249.0 , 288.0 , 257.0 , 290.0 , 247.0 , 250.0 , 250.0 , 251.0 , 253.0 , 252.0 , 352.0 , 255.0 , 349.0 , 334.0 , 334.0 
 Operational Disruption (unit) ,," 28,900.0 "," 24,900.0 "," 28,800.0 "," 25,700.0 "," 29,000.0 "," 24,700.0 "," 25,000.0 "," 25,000.0 "," 25,100.0 "," 25,300.0 "," 25,200.0 "," 35,200.0 "," 25,500.0 "," 34,900.0 "," 33,400.0 "," 33,400.0 "
